keyword,intent,page_type,priority_tier,est_difficulty,notes
royvento,navigational,homepage,quick-win,low,Brand term; must rank #1
royvento app,navigational,homepage,quick-win,low,Brand + app modifier
royvento book pub,navigational,homepage,quick-win,low,Brand + action
book a pub online india,transactional,homepage,medium,medium,Core value prop
book pub table online,transactional,homepage,medium,medium,Map to homepage + city CTA
pub booking app india,transactional,homepage,medium,medium,Compete with Magicpin/EazyDiner
event booking platform india,transactional,homepage,medium,high,Competitor: Insider/BMS
nightlife booking app,transactional,homepage,medium,medium,Strong intent
party venue booking online,transactional,homepage,medium,medium,Sub-intent: parties
best pubs in bangalore,transactional,city,quick-win,medium,High volume; tier-1
best pubs in mumbai,transactional,city,quick-win,medium,High volume; tier-1
best pubs in delhi,transactional,city,quick-win,medium,High volume; tier-1
best pubs in hyderabad,transactional,city,quick-win,medium,High volume; tier-1
best pubs in pune,transactional,city,quick-win,medium,High volume; tier-1
best pubs in chennai,transactional,city,quick-win,medium,High volume; tier-1
best pubs in kolkata,transactional,city,quick-win,medium,High volume; tier-1
best pubs in goa,transactional,city,quick-win,medium,Tourist demand; high volume
best pubs in gurgaon,transactional,city,quick-win,medium,Cyber Hub demand
best pubs in noida,transactional,city,quick-win,medium,Sec-18/Sec-104 demand
best pubs in chandigarh,transactional,city,medium,low,Tier-2 quick win
best pubs in jaipur,transactional,city,medium,low,Tier-2 quick win
best pubs in lucknow,transactional,city,medium,low,Tier-2 quick win
best pubs in ahmedabad,transactional,city,medium,low,Tier-2; gujarat liquor caveat
best pubs in indore,transactional,city,medium,low,Tier-2 quick win
best pubs in kochi,transactional,city,medium,low,Tier-2 quick win
best pubs in kolkata park street,transactional,locality,quick-win,low,Famous strip
pubs near me,transactional,city,medium,high,GBP-driven; low SERP without GBP
pubs open now near me,transactional,city,medium,medium,Time-sensitive
pubs in indiranagar bangalore,transactional,locality,quick-win,low,High volume locality
pubs in koramangala bangalore,transactional,locality,quick-win,low,High volume locality
pubs in mg road bangalore,transactional,locality,quick-win,low,Famous strip
pubs in brigade road bangalore,transactional,locality,quick-win,low,Famous strip
pubs in koregaon park pune,transactional,locality,quick-win,low,Premier nightlife strip
pubs in viman nagar pune,transactional,locality,medium,low,Locality
pubs in baner pune,transactional,locality,medium,low,Locality
pubs in bandra mumbai,transactional,locality,quick-win,low,High volume locality
pubs in andheri mumbai,transactional,locality,quick-win,low,High volume locality
pubs in lower parel mumbai,transactional,locality,quick-win,low,High-end strip
pubs in juhu mumbai,transactional,locality,medium,low,Coastal nightlife
pubs in connaught place delhi,transactional,locality,quick-win,low,CP nightlife
pubs in hauz khas village delhi,transactional,locality,quick-win,low,Famous strip
pubs in cyber hub gurgaon,transactional,locality,quick-win,low,Famous strip
pubs in sector 29 gurgaon,transactional,locality,quick-win,low,Famous strip
pubs in jubilee hills hyderabad,transactional,locality,quick-win,low,High demand
pubs in gachibowli hyderabad,transactional,locality,medium,low,Tech corridor
pubs in baga goa,transactional,locality,medium,low,Tourist heavy
pubs in anjuna goa,transactional,locality,medium,low,Tourist heavy
rooftop pubs in bangalore,transactional,category,quick-win,medium,Strong category
rooftop bars in mumbai,transactional,category,quick-win,medium,Strong category
rooftop restaurants delhi,transactional,category,medium,medium,Hybrid intent
sports bar bangalore,transactional,category,medium,low,IPL/F1 hook
sports bar mumbai,transactional,category,medium,low,IPL hook
couple friendly pubs bangalore,transactional,category,quick-win,low,High intent
couple friendly cafes pune,transactional,category,medium,low,Date intent
live music pubs bangalore,transactional,category,quick-win,low,Music modifier
live music venues delhi,transactional,category,medium,medium,Compete with BMS
karaoke bars in bangalore,transactional,category,medium,low,Niche modifier
hookah lounge in bangalore,transactional,category,medium,low,Legality varies; check city
hookah lounge in pune,transactional,category,medium,low,Niche
microbreweries in bangalore,transactional,category,quick-win,medium,Famous category
microbreweries in pune,transactional,category,medium,low,Tier-2 quick win
microbreweries in gurgaon,transactional,category,medium,low,Cyber Hub
ladies night bangalore,transactional,category,quick-win,low,Day-of-week modifier
ladies night mumbai,transactional,category,quick-win,low,Day-of-week modifier
ladies night pune,transactional,category,quick-win,low,Day-of-week modifier
saturday dj night bangalore,transactional,category,medium,low,Day modifier
friday party in mumbai,transactional,category,medium,low,Day modifier
sunday brunch pubs bangalore,transactional,category,medium,low,Sunday brunch hook
new year party bangalore 2026,transactional,seasonal,quick-win,medium,NYE; refresh annually
new year party mumbai 2026,transactional,seasonal,quick-win,medium,NYE; refresh annually
new year party delhi 2026,transactional,seasonal,quick-win,medium,NYE; refresh annually
new year party goa 2026,transactional,seasonal,quick-win,high,NYE; tourist heavy
new year party pune 2026,transactional,seasonal,quick-win,medium,NYE; refresh annually
christmas party venues bangalore,transactional,seasonal,medium,low,Dec hook
holi party bangalore,transactional,seasonal,medium,low,Mar hook
holi party pune,transactional,seasonal,medium,low,Mar hook
diwali party venues mumbai,transactional,seasonal,medium,low,Oct/Nov hook
valentines day pubs bangalore,transactional,seasonal,medium,low,Feb hook
valentines day couple dinner bangalore,transactional,seasonal,medium,low,Date funnel
halloween party bangalore,transactional,seasonal,medium,low,Oct hook
ipl screening pubs bangalore,transactional,seasonal,quick-win,low,Mar-May; sports bar tie-in
ipl screening pubs mumbai,transactional,seasonal,quick-win,low,Mar-May
